epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.767,3.02579,4.07506,4.05434,0.00218,0.94569,0.00475,0.00168,1.99681,42.7729,2.707,0.000659864,0.000659864,0.000659864
2,75.848,2.80415,3.71216,3.43834,0.07371,0.26837,0.04188,0.01044,1.98733,34.5016,2.38105,0.00132128,0.00132128,0.00132128
3,112.163,2.62537,3.59797,3.18865,0.00338,0.76038,0.00813,0.00238,2.11706,80.0187,2.68128,0.00197741,0.00197741,0.00197741
4,147.368,2.46736,3.4334,3.02905,0.00758,0.22045,0.00467,0.0012,2.37503,584.823,3.15167,0.00197624,0.00197624,0.00197624
5,182.446,2.34131,3.07935,2.84084,0.07208,0.75399,0.26495,0.06956,1.87156,21.3009,2.23305,0.00196832,0.00196832,0.00196832
6,217.694,2.25777,2.88221,2.70993,0.21277,0.36102,0.1462,0.04606,1.88016,10.4498,2.32671,0.0019604,0.0019604,0.0019604
7,253.331,2.20424,2.7474,2.62518,0.4271,0.49521,0.39699,0.12927,1.77902,15.1296,2.1138,0.00195248,0.00195248,0.00195248
8,288.701,2.13911,2.66765,2.57259,0.46107,0.41214,0.42325,0.14469,1.68608,11.3453,2.14267,0.00194456,0.00194456,0.00194456
9,324.163,2.13254,2.5447,2.54897,0.406,0.63259,0.47909,0.16103,1.68964,24.0485,2.08894,0.00193664,0.00193664,0.00193664
10,359.546,2.07593,2.48741,2.48187,0.32161,0.47604,0.28499,0.08453,1.80704,16.8944,2.16254,0.00192872,0.00192872,0.00192872
11,394.537,2.06221,2.45901,2.47055,0.4202,0.56034,0.41506,0.14493,1.63262,23.7855,2.08649,0.0019208,0.0019208,0.0019208
12,429.615,2.0491,2.42726,2.46957,0.61406,0.47784,0.52852,0.18362,1.71761,7.11845,2.07245,0.00191288,0.00191288,0.00191288
13,464.561,2.02497,2.35772,2.40896,0.58142,0.5623,0.56816,0.20723,1.65616,9.71535,1.99617,0.00190496,0.00190496,0.00190496
14,500.032,2.00765,2.29396,2.41839,0.57408,0.63898,0.62936,0.22049,1.60866,13.0663,2.0389,0.00189704,0.00189704,0.00189704
15,535.49,1.99992,2.26292,2.39741,0.66011,0.59105,0.64494,0.24934,1.69857,7.65817,2.07142,0.00188912,0.00188912,0.00188912
16,570.568,1.99943,2.23269,2.39367,0.72434,0.61283,0.68066,0.26502,1.71659,3.37492,2.05028,0.0018812,0.0018812,0.0018812
17,605.397,1.996,2.18884,2.37856,0.62295,0.51757,0.58814,0.22428,1.64723,2.90981,2.0017,0.00187328,0.00187328,0.00187328
18,640.252,1.98056,2.21243,2.37721,0.70639,0.59186,0.6688,0.25338,1.69763,3.04768,2.06631,0.00186536,0.00186536,0.00186536
19,675.207,1.97868,2.09307,2.37055,0.73202,0.65495,0.73434,0.31328,1.58484,1.77579,1.93784,0.00185744,0.00185744,0.00185744
20,710.106,1.92308,2.04301,2.32699,0.71012,0.65176,0.71303,0.2852,1.52072,10.4293,1.93324,0.00184952,0.00184952,0.00184952
21,744.586,1.90738,2.02916,2.32068,0.78119,0.6869,0.75178,0.31416,1.65425,2.72418,1.96499,0.0018416,0.0018416,0.0018416
22,779.736,1.94343,2.04512,2.34766,0.7061,0.56802,0.65421,0.23783,1.72474,2.43863,2.07367,0.00183368,0.00183368,0.00183368
23,814.433,1.93899,1.95036,2.32875,0.69869,0.62939,0.67958,0.24295,1.7287,9.11944,2.03992,0.00182576,0.00182576,0.00182576
24,849.323,1.91597,1.93162,2.31527,0.77147,0.6869,0.75307,0.29999,1.58732,6.23536,1.97271,0.00181784,0.00181784,0.00181784
25,884.391,1.92551,1.95756,2.30103,0.79316,0.71885,0.76706,0.31681,1.61089,3.09448,1.92172,0.00180992,0.00180992,0.00180992
26,919.707,1.92222,1.95103,2.30906,0.70039,0.6647,0.67965,0.25911,1.62163,4.914,2.03735,0.001802,0.001802,0.001802
27,954.86,1.91612,1.87777,2.30732,0.67995,0.63125,0.68431,0.26084,1.64948,8.24753,2.06407,0.00179408,0.00179408,0.00179408
28,989.862,1.94385,1.92977,2.32773,0.84956,0.73163,0.81028,0.3493,1.58195,2.19722,1.90132,0.00178616,0.00178616,0.00178616
29,1024.8,1.90011,1.86358,2.28551,0.85422,0.70607,0.80654,0.3377,1.60538,2.47307,1.98369,0.00177824,0.00177824,0.00177824
30,1060.16,1.88358,1.87981,2.26356,0.83609,0.71707,0.79241,0.31126,1.65034,3.80309,1.97746,0.00177032,0.00177032,0.00177032
